symbol,definition,value_or_range,unit,species,charge_state,environment,temperature,pH,method,source,status,uncertainty,limitations,use_class,code_location
g_SQ,isotropic semiquinone g value,2.0033,dimensionless,doxorubicin semiquinone,radical anion/water protonation not resolved,water,not reported,not reported,ESR,https://doi.org/10.1016/0891-5849(90)90027-G,measured,not reported,"single line; no tensor or hyperfine resolution",sensitivity_and_initialization,encounter.g_radical
k_bulk,SQ plus O2 bulk electron-transfer rate,4.4e7,M^-1 s^-1,adriamycin semiquinone + O2,not fully specified,aqueous,not reported,not reported,pulse radiolysis,https://doi.org/10.1016/0003-9861(81)90263-0,measured,not reported,"bulk bimolecular rate is not an intracomplex first-order kD",validation_only,measured_parameters
t_half,SQ anaerobic half-life,50,us,adriamycin semiquinone,not fully specified,aqueous anaerobic,not reported,not reported,pulse radiolysis,https://doi.org/10.1016/0003-9861(81)90263-0,measured,not reported,"includes chemical loss; is not spin T1/T2 or encounter lifetime",context_only,none
pKa_SQ,semiquinone protonation pKa,2.9,dimensionless,adriamycin semiquinone,protonated/deprotonated pair,aqueous,not reported,varied,pulse radiolysis,https://doi.org/10.1038/bjc.1985.74,measured,not reported,"does not determine contact-pair spin dynamics",context_only,none
k_spont,effective spontaneous superoxide dismutation near physiological pH,2e5,M^-1 s^-1,HO2/O2-,mixed protonation,water,298 K approximate,7.4,critically evaluated pulse-radiolysis data,https://doi.org/10.1063/1.555739,recommended,condition-dependent,"strong pH dependence; use requested pH speciation for prediction",sensitivity,downstream.k_spont_m_inv_s
k_SOD,CuZnSOD reaction with superoxide,2e9,M^-1 s^-1,bovine erythrocyte CuZnSOD + O2-,anion,aqueous buffer,not reported,7.8-8.5,competitive kinetics,https://doi.org/10.1016/0003-9861(73)90636-X,measured,not reported,"isoform and conditions are surrogates for a biological compartment",sensitivity,downstream.k_sod_m_inv_s
g_O2,solution encounter oxygen g tensor,unavailable,dimensionless,ground-state triplet O2,neutral,chemically relevant fluid encounter,unavailable,unavailable,EPR literature search,NA,unavailable,NA,"free-electron 2.0023 in active profile is explicitly assumed",sensitivity_only,encounter.g_oxygen
A_SQ,doxorubicin semiquinone hyperfine tensors,unavailable,rad s^-1,doxorubicin semiquinone,unresolved,chemically relevant solution,unavailable,unavailable,EPR/ENDOR literature search,NA,unavailable,NA,"no exact resolved constants found; do not import flavin/other quinone data",sensitivity_only,encounter.effective_hyperfine_rad_s
k_D,doublet encounter electron-transfer rate,unavailable,s^-1,doxorubicin semiquinone-O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,spin-resolved kinetics search,NA,unavailable,NA,"bulk k cannot be converted without encounter definition/concentration",illustrative_only,encounter.k_doublet_s
k_Q_over_k_D,quartet/doublet rate ratio,0;0.01;0.1;1,dimensionless,doxorubicin semiquinone-O2 encounter,unresolved,not specified,not specified,not specified,sensitivity benchmark,NA,assumed,not probabilistic,"no exact-system spin-resolved measurement; range tests ideal selection through no selection",illustrative_only,encounter.k_quartet_s
k_esc,encounter separation rate,1e6-1e9,s^-1,doxorubicin semiquinone-O2 encounter,unresolved,not specified,not specified,not specified,log sensitivity grid,NA,assumed,not probabilistic,"purely illustrative; geometry and diffusion model absent",illustrative_only,encounter.k_escape_s
T1_T2,electron spin relaxation/dephasing,unavailable,s,doxorubicin semiquinone-O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,pulse EPR literature search,NA,unavailable,NA,"chemical radical lifetime is not T1 or T2",sensitivity_only,encounter.*_relaxation_s
J,exchange coupling,unavailable,rad s^-1,doxorubicin semiquinone-O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,EPR/computational search,NA,unavailable,NA,"distance and geometry unavailable; isotropic J alone cannot mix D/Q",sensitivity_only,encounter.exchange_rad_s
D_dip,dipolar coupling,unavailable,rad s^-1,doxorubicin semiquinone-O2 encounter,unresolved,chemically relevant solution,unavailable,unavailable,EPR/structure search,NA,unavailable,NA,"requires distance/orientation/spin density",sensitivity_only,encounter.dipolar_rad_s
k_H2O2_loss,hydrogen peroxide removal rate,unavailable,s^-1,H2O2,neutral,chosen biological compartment,unavailable,unavailable,not researched without compartment,NA,unavailable,NA,"must include catalase/peroxidases and transport for prediction",sensitivity_only,downstream.k_h2o2_loss_s
