N,epsilon,delta,cpu_time,ram_bytes
1001,3.8180491692103873e-7,3.3398735398996077e-6,978.374421458,8050496037520
583,1.8498585194319547e-6,1.1740611021026092e-6,340.938763,2739882730256
381,6.661549073095495e-7,1.1736415420693146e-6,127.918776583,1175753167744
269,1.4685541234652758e-6,5.997778423518811e-7,62.209555291,589768582656
199,7.621036432825863e-8,3.5281641259931264e-6,31.377198958,325320318768
155,2.2852896379907956e-6,5.642600844373845e-7,25.613024291,198952192752
123,1.83132419766514e-6,8.734148376207989e-6,16.557508333,126712120768
99,1.2645797256246666e-6,3.535025227805194e-6,11.755375708,83320077568
83,7.28759624264591e-7,2.9638415279518595e-6,8.829217625,59416053792
71,6.190103964503662e-6,9.011585402079485e-6,7.551964791,44264038736
59,5.785026977887179e-6,3.0362042337961778e-6,5.230799666,31384025952
51,3.061751193109112e-6,4.217656827661266e-6,4.661245167,24136018768
45,6.735684944885593e-6,3.861346252928161e-6,4.285390333,19544014224
39,4.239594315997568e-6,4.066175425527453e-6,3.825905167,15160009888
35,5.5907910838719305e-6,3.610970734763825e-6,3.369610875,12728007488
31,7.354669914274533e-6,3.488369266468411e-6,2.902667958,10424005216
29,4.272872937259348e-6,3.405700573701648e-6,2.796277167,9464004272
25,7.777178337551143e-6,3.7643741764747957e-6,2.707381834,7544002384
23,2.6427041822300248e-6,4.092565300233504e-6,2.730854458,6712001568
21,7.818701275277432e-6,3.027046565647837e-6,2.521538916,6008000880
19,5.822331395466613e-6,3.7631858077893078e-6,2.630256333,5304000192
17,4.241724092425006e-7,5.122949451707582e-6,2.319222416,4599999504
15,5.170735949144722e-6,3.940345270490085e-7,1.519594083,4007998928
13,2.5154784761878987e-6,1.0753504687934774e-6,1.414723584,3399998336
11,5.915067136171342e-6,1.8708789906688822e-6,1.358688,2935997888
