N,epsilon,cpu_time,ram_bytes
1001,1.6628885287869474e-10,0.440830917,93953216
807,2.5597218847174285e-10,0.089513833,35356960
663,3.794432262475271e-10,0.057670083,24296864
555,5.418054399216784e-10,0.053665375,17000160
473,7.464124072641618e-10,0.040453791,12301136
407,1.0088131210171586e-9,0.00855075,9270000
353,1.3420770539331974e-9,0.004870708,6864752
311,1.7303715756784974e-9,0.003150166,5431600
275,2.214938192951651e-9,0.00298025,4221936
245,2.7930780645809577e-9,0.00216875,3428656
219,3.4990465776442077e-9,0.001733417,2795488
197,4.328630673493633e-9,0.001496708,2265696
179,5.248348319802963e-9,0.001369958,1884128
163,6.336254156005903e-9,0.00110675,1567120
149,7.591702013607193e-9,0.014200875,1318208
137,8.990518158363149e-9,0.00915225,1126752
127,1.0474213047135023e-8,0.008219708,973472
117,1.2357950773431377e-8,0.005965125,840912
107,1.4799622670270067e-8,0.008667166,709312
101,1.662885390858315e-8,0.008043875,635904
93,1.9646562708497344e-8,0.005946041,552816
87,2.248356888080145e-8,0.030399542,479520
81,2.598256827824211e-8,0.000444917,423472
77,2.8789544028441145e-8,0.000321708,387696
73,3.207723197357695e-8,0.000314417,351504
69,3.596200853959117e-8,0.000356083,318944
65,4.059772391928427e-8,0.000256584,286160
61,4.619117094773093e-8,0.000228209,253888
57,5.302555502806284e-8,0.000259917,225552
55,5.702609645775764e-8,0.000202041,212320
51,6.651519731461715e-8,0.000183791,186448
49,7.217358121680079e-8,0.000182542,173776
47,7.858594572050323e-8,0.000166042,162192
45,8.589244896737893e-8,0.00016475,150432
43,9.426739766305774e-8,0.000149583,139600
41,1.0392973988764913e-7,0.000145375,128704
39,1.1515752137716632e-7,0.000138583,118688
37,1.2830811492598915e-7,0.000130375,108656
35,1.4384701288499643e-7,0.000128167,99440
33,1.6238959377057697e-7,0.000114541,90272
31,1.8476299910158013e-7,0.000105667,81856
29,2.121000000833812e-7,0.000122417,73536
27,2.459852503413482e-7,0.000103791,65936
25,2.886902117326657e-7,9.2334e-5,58480
23,3.435639701158444e-7,8.4292e-5,51680
21,4.1571043017096866e-7,7.5959e-5,45088
19,5.13219460222591e-7,7.2625e-5,39088
17,6.495375527003528e-7,6.725e-5,33360
15,8.483644789814099e-7,6.4e-5,28160
13,1.1546950410064786e-6,6.55e-5,23296
11,1.6627052708617093e-6,5.6166e-5,18896
