N,epsilon,delta,cpu_time,ram_bytes
1001,0.0018084694897151836,0.0019138409689262031,99.59847775,804946437216
661,0.005693514974846701,0.0019051872090571939,86.540752541,351754708064
469,0.002197618930899348,0.0019079502984001415,24.23825925,177568967760
349,0.00041426266822177347,0.0019083014123729065,14.937798084,98675379792
271,0.003417072878998734,0.0019054184059945644,9.133901458,59738991056
217,0.001420165564730071,0.001917580760573368,4.901705459,38426778368
177,0.0022571841357332157,0.001900644920366506,2.435834,25690651328
147,0.0023088166406240646,0.0019103393006431881,1.80211525,17812172784
123,0.0008652691360082814,0.0019077589505133322,1.294488,12560920464
107,0.001928114990566668,0.001902159001818447,1.103419,9580090784
91,0.0020105126007450656,0.0019018651995466598,2.183609042,6975264864
81,0.0009024229426585748,0.0019054334905754323,0.856300875,5573650928
71,0.0020608027530001904,0.001900754031769201,0.67121975,4316038432
63,0.002522193348298063,0.0019001280414453025,0.603070834,3437629712
57,0.0017820579881236002,0.0019094591568496503,0.543435625,2847223856
51,0.0024615051028313694,0.0019005468175208088,0.484853625,2303218464
45,0.0027462666213073092,0.0018989782203661936,0.496760333,1844013920
41,0.0035778067315441605,0.0018971690704586756,0.4486845,1544810960
39,0.0034850247541860302,0.0018921523474113256,0.459631041,1405609584
35,0.0033029201081820657,0.0018934080042146756,0.276896042,1162407184
33,0.002893574245575365,0.0018950543689955416,0.389181375,1045606032
29,0.005233518434886668,0.0018881363055804404,0.158303958,836003968
27,0.0033865795811371655,0.0018935851131503631,0.378976459,740003024
25,0.003894276285519284,0.001890613392661695,0.152884375,644002080
23,0.004675999457071295,0.0018854874024173307,0.1524465,560801264
21,0.004869414706525286,0.0018847114315064923,0.400733292,490400576
19,0.005676862708146647,0.0018806510073192048,0.159017625,419999888
17,0.005125080799521532,0.0018837995020375368,0.157476375,349599200
15,0.00701598723566377,0.0018729667424840302,0.126824,290398624
13,0.006098585796742923,0.001877898849434996,0.120996334,229598032
11,0.007247522181145284,0.001872165942815558,0.1847335,183197584
