N,epsilon,cpu_time,ram_bytes
1001,1.1333276057313173e-6,0.134383228,60995024
661,2.601745139796977e-6,0.061443581,26848016
469,5.174351575582868e-6,0.021254681,13610688
349,9.357957076929457e-6,0.007892101,7504608
271,1.554533280354922e-5,0.004980805,4549248
217,2.428863539083456e-5,0.002704124,3001792
177,3.658149693022099e-5,0.001932468,1996032
147,5.3155596584925295e-5,0.001478501,1376080
123,7.611856188326696e-5,0.00129412,955136
107,0.00010082092237447759,0.001014088,737712
91,0.0001398304759614339,0.000757655,548048
81,0.00017694366407722175,0.000664995,436336
71,0.00023105434571562295,0.000556984,331616
63,0.0002944449560275427,0.000621305,264544
57,0.0003608136598777492,0.000512654,221696
51,0.0004524199171238302,0.000518453,178352
45,0.0005838778401966053,0.000352813,143840
41,0.0007061076189813222,0.000610284,121568
39,0.0007821258670962466,0.000586314,109520
35,0.0009761371437008772,0.000678165,90320
33,0.0011013532841829025,0.000651555,82960
29,0.0014363596477231862,0.000741305,66448
27,0.001664150581141754,0.000660675,57776
25,0.0019505806138179742,0.000270572,51952
23,0.002317570790143628,0.000265142,44400
21,0.0027982833415979287,0.000263902,39328
19,0.0034447814388145347,0.000232632,32912
17,0.00434250528516653,0.000216482,28656
15,0.00563942923302363,0.000225032,23504
13,0.0076095437288267904,0.000243482,19760
11,0.010805208693310527,0.000208692,15536
