N,epsilon,delta,cpu_time,ram_bytes
1001,0.003284255294873624,0.0029005438820962318,92.793193833,804969804456
807,0.00873102587765739,0.002903559304893121,72.452770375,523687626208
663,0.0014231664648214175,0.002897673556911978,33.344865417,353881129312
555,0.005112576129180289,0.0029164394123997856,30.466187208,248321674592
473,0.005348115167401204,0.002911697877563451,17.670394167,180631398352
407,0.00037313744802593835,0.0029025460808412263,11.574976084,133922131792
353,0.0010174441983354277,0.0029032504657110873,10.636267125,100931402320
311,0.002830035059783821,0.0028955645914919164,7.137533875,78471978064
275,0.001832777768119309,0.0028983124983570745,5.947487167,61483008464
245,0.0019436673568275697,0.0029024276092927395,4.275867042,48858882464
219,0.003809930324714856,0.0029021021041631344,3.865529875,39119585280
197,0.0010403139995698058,0.002903070532039118,2.897947875,31727511536
179,0.0018142437102491263,0.0028999677099164167,2.537060625,26255456960
163,0.0015044766869888842,0.002898883669475163,2.036551708,21826612800
149,0.004009958558458751,0.0028925391544695044,1.630191125,18287377520
137,0.005476003338361987,0.002885997910855725,1.578773584,15514549888
127,0.0015189838204675292,0.0028982784650030207,1.247258125,13370528528
117,0.0016942421080742712,0.0029007663393387055,1.092880583,11380108704
107,0.004675846034775525,0.0028933471207662153,1.002894083,9580090784
101,0.0028369773604302565,0.0028937718004728268,0.871677916,8543280464
93,0.001769333739586713,0.002898660117049393,0.823202542,7271267808
87,0.0033845318247460836,0.002892940980696115,0.786911459,6408859232
81,0.0025829498085690023,0.0028947941292403767,0.658418584,5573650928
77,0.004768606153589307,0.0028891173578424146,0.607674417,5039245616
73,0.002858719481914399,0.002902888537823099,0.60095975,4562440880
69,0.0005278716402226471,0.002901506639338117,0.624254291,4084036128
65,0.0005639162282442124,0.002904183793707631,0.667068041,3644031760
61,0.006399556055013585,0.002881402615051342,0.650790125,3221627568
57,0.002408890497122333,0.002895418282873632,0.442456792,2847223856
55,0.004989116636212516,0.002889599031723011,0.43379925,2652021920
51,0.00621329987945477,0.002886412233633355,0.621294167,2303218464
49,0.005363933816604655,0.0028844673850037016,0.365706917,2133616784
47,0.005459952307904598,0.0028848418650033285,0.699729292,1978415248
45,0.00522760973665761,0.0028868778664623515,0.445590667,1844013920
43,0.006951481252677462,0.0028850144339416122,0.462738916,1687212368
41,0.0038533811949734136,0.002891458374072545,0.517241458,1544810960
39,0.0026173893845441915,0.0028941181662050994,0.46921625,1405609584
37,0.0047310573396616915,0.0028925277466639427,0.481460333,1288808432
35,0.005992380509175172,0.0028845940355226108,0.370095625,1162407184
33,0.006544580880802517,0.002885584720906637,0.442911208,1045606032
31,0.0045454666664880685,0.0028968313700130097,0.279988375,932004912
29,0.005003390556354776,0.0028976452195382785,0.223067,836003968
27,0.0015615183719285438,0.002897254965796939,0.271223583,740003024
25,0.00479061676524209,0.002886840503867714,0.215111875,644002080
23,0.007121488881958975,0.0028814784844693178,0.217315916,560801264
21,0.0034612297132356716,0.002891456900923237,0.347061375,490400576
19,0.0038665873398875572,0.002899227399690584,0.365126625,419999888
17,0.001811460675565998,0.002896404792945791,0.18416275,349599200
15,0.0012653030161027194,0.0029068339782806294,0.11566725,290398624
13,0.006161220185585317,0.002921986640969606,0.19584,229598032
11,0.012430193679003538,0.002943968965317538,0.053035916,183197584
