N,epsilon,cpu_time,ram_bytes
1001,5.3332871125051544e-6,2.405246031,162467080
807,8.209616130507618e-6,0.123950444,39813648
663,1.2169539949009032e-5,0.041288949,26982096
555,1.737668527404307e-5,0.02963748,18946960
473,2.3938549759704008e-5,0.021295881,13802368
407,3.2353690584794916e-5,0.015436621,10347136
353,4.304106664962524e-5,0.009188944,7647008
311,5.5492741050677904e-5,0.007157746,6016448
275,7.103092549501178e-5,0.005582339,4660288
245,8.956861596707225e-5,0.004532041,3760496
219,0.00011220353880256414,0.004298218,3046752
197,0.00013879973233596747,0.005163485,2457328
179,0.00016828288885630197,0.00230852,2032672
163,0.00020315397467462825,0.002173819,1681744
149,0.000243390444755317,0.001911236,1406544
137,0.00028821561194242726,0.001586884,1195072
127,0.0003357535990478863,0.001859206,1026800
117,0.0003960984996379423,0.00119365,880896
107,0.0004742990456015986,0.000841648,737712
101,0.0005328716796357385,0.000788547,672464
93,0.0006294754523481879,0.002650803,567248
87,0.000720266913862834,0.000676957,489104
81,0.0008322070275022007,0.000602556,436336
77,0.000921978512550057,0.003729043,390160
73,0.0010270906883875898,0.000593375,358688
69,0.0011512464774733695,0.000553585,316976
65,0.00129933652620869,0.000645385,288624
61,0.0014779270998602698,0.000427884,251456
57,0.0016959986282578028,0.000420244,221696
55,0.0018235763643776486,0.000405984,205104
51,0.0021259739826366033,0.000370544,178352
49,0.0023061536964265775,0.000410034,167600
47,0.0025102152117467778,0.000424414,153360
45,0.0027425665716036733,0.000441794,143840
43,0.0030086800453081822,0.000456264,130608
41,0.003315415420741607,0.000348563,121568
39,0.0036714637084666038,0.000327703,109520
37,0.004087965254384445,0.000364993,101296
35,0.00457938503306907,0.000301052,90320
33,0.0051647747215842555,0.000317583,82960
31,0.005869629275808901,0.000272362,73104
29,0.006728679696262624,0.000269633,66448
27,0.0077902005349769,0.000281713,57776
25,0.009122844092132893,0.000285883,51952
23,0.010826837448623379,0.000467004,44400
21,0.013053016013118708,0.000474274,39328
19,0.016036587760352786,0.000414364,32912
17,0.020160091756217358,0.000239323,28656
15,0.026077929759237405,0.000286123,23504
13,0.034980735143504034,0.000301543,19760
11,0.049206893752620696,0.000276972,15536
