N,epsilon,delta,cpu_time,ram_bytes
1001,0.002211828075860236,0.00112860765547262,210.5047746,24828037424
807,0.0008150275028845613,0.0011285284467954459,133.7500732,20000014192
663,0.0003674487194104013,0.0011287901886456596,46.5701658,16544010736
555,0.00160927018881342,0.0011278518482423854,35.2249255,14048008240
473,0.0020549174790652153,0.0011283204540492187,24.2934973,12112006304
407,0.0027383285211783313,0.00112802355118265,16.7128966,10384004576
353,0.002320783310897633,0.0011272893974314578,11.1868781,9232003424
311,0.0004696499177437554,0.0011289520918413706,8.7424471,8080002272
275,0.0023005784525735404,0.0011274678044505076,7.2362577,7312001504
245,0.00017043350111874613,0.0011290318646131217,7.2843808,6304000496
219,0.00223463703742983,0.001127156332175848,6.4005371,5631999824
197,0.0017240975800882608,0.001127750945482025,5.356786,5103999296
179,0.003200683846562507,0.0011262511500631333,4.2158664,4671998864
163,0.002178525303447643,0.0011271695889073041,5.1194916,4287998480
149,0.00258687234979129,0.001126970462426829,4.8347647,3951998144
137,0.0034821958032011076,0.001126000850282834,3.5340413,3711997904
127,0.0026421457609389406,0.001126949443325398,3.4706,3471997664
117,0.0026840585575755717,0.0011270200579767322,3.1276679,3231997424
107,0.003120360325923452,0.0011264525333334204,2.2817793,3231997424
101,0.004447362005789601,0.001125503414909818,1.9999747,2895997088
93,0.004037217731608042,0.0011255524274195634,1.9666339,2655996848
87,0.004343528727802137,0.001125260278572585,1.6280832,2655996848
81,0.004989844364916236,0.0011246571970460997,1.6043631,2415996608
77,0.004243807097407975,0.0011253319759976254,1.9683312,2223996416
73,0.004998418803666697,0.001124701462599609,1.7252406,2223996416
69,0.005131317571114897,0.0011246381072609138,1.4164353,2079996272
65,0.005284133264803611,0.0011243891336748064,1.6753504,1935996128
61,0.005589827674476667,0.0011241839609631903,1.3823476,1839996032
57,0.005745874838461264,0.0011240049603010898,1.3040256,1839996032
55,0.006223339039012574,0.00112357954807867,1.1919433,1695995888
51,0.006476656909551813,0.0011233202798905432,0.9783908,1695995888
49,0.006299872163046561,0.0011234846555054792,0.9014577,1551995744
47,0.00628348610605814,0.0011235623909270028,1.1268411,1551995744
45,0.008086473209126446,0.0011219984938335794,0.9534667,1551995744
43,0.008201902733434494,0.0011217760351606677,0.8806011,1407995600
41,0.00745323319913765,0.0011224478095761793,1.0154189,1407995600
39,0.008979711628223898,0.00112124645837048,0.8186573,1311995504
37,0.008423930340983527,0.0011216113267010523,0.7344434,1311995504
35,0.008631109622992031,0.00112139975607434,0.8485581,1215995408
33,0.00696087952495021,0.0011230172050057323,0.6818381,1215995408
31,0.008489191451224256,0.0011216184214074532,0.7825242,1119995312
29,0.009393520678042043,0.001120724910117113,0.8162557,1071995264
27,0.009097300893139247,0.0011210104259563253,0.5591042,1023995216
25,0.009915652817139275,0.001120244144575822,0.5820061,975995168
23,0.009138569029944364,0.0011209402534474876,0.724625,927995120
21,0.00818850328011834,0.001121805590057323,0.5854351,879995072
19,0.008118489199102236,0.0011218552901175124,0.5107349,831995024
17,0.008766006221284617,0.0011212688004007387,0.6999571,783994976
15,0.006235594507721267,0.001123562040067512,0.4579716,735994928
13,0.004031444736775214,0.0011258369632200346,0.4732481,687994880
11,0.0024290852451347173,0.0011306128022908993,0.5900512,639994832
