N,epsilon,cpu_time,ram_bytes
1001,7.254727260327133e-6,1.6179719,180179200
807,7.755144901291159e-6,0.0749662,50233936
663,1.1495844778769854e-5,0.0302326,34015504
555,1.6414710372737432e-5,0.0312206,23875664
473,3.2562647880224165e-5,0.0197373,17382336
407,3.056249793532631e-5,0.015107,12997824
353,5.8546446309281705e-5,0.0098545,9641056
311,5.242026776888918e-5,0.0105527,7564288
275,6.709794419239465e-5,0.0061495,5870592
245,0.0001218323862981291,0.0053163,4721200
219,0.00010598997884515595,0.0067069,3814432
197,0.00018879229780260592,0.0039718,3078576
179,0.00015896205096542173,0.0034289,2545632
163,0.00019190039457423914,0.0040686,2107152
149,0.00033103604307848245,0.003346,1762064
137,0.00039199364212667284,0.0026097,1495680
127,0.00031714654798025577,0.001468,1285168
117,0.0005386914502580708,0.00225,1100224
107,0.00044800187554355975,0.0016972,921200
101,0.000724649995010903,0.0013399,835984
93,0.0008559775903149477,0.0013859,705936
87,0.0006802996292899638,0.001943,610512
81,0.0011315368148560171,0.0015839,541616
77,0.0012535383192538217,0.0017109,485328
73,0.001396373540193041,0.0019453,444256
69,0.0015650664852457717,0.0009311,393456
65,0.0017662505947763898,0.0009291,356528
61,0.0020088287917579143,0.0004004,311296
57,0.0023049719236436722,0.0003426,273984
55,0.0017220175580149946,0.0003136,253808
51,0.002007456278451062,0.0002634,220272
49,0.0031332075764038307,0.0002692,206320
47,0.0023701005958016515,0.0002515,189008
45,0.0037252767683492363,0.00024,176704
43,0.0028404683336374693,0.0002667,160656
41,0.0045020329865352185,0.0002474,148928
39,0.0034657530408256057,0.0002298,134320
37,0.0055488346246348,0.0002124,123664
35,0.004322048191766272,0.0002193,110384
33,0.007006491109023811,0.000193,100848
31,0.005538416461413961,0.0002046,88944
29,0.009120588791786271,0.0001742,80368
27,0.007347919701727472,0.0001714,69904
25,0.012350329149540087,0.0001612,62416
23,0.010206287312804655,0.0001601,53328
21,0.01763462708383888,0.0001525,46848
19,0.015102742748556493,0.0001701,39152
17,0.027135484416824972,0.0001352,33744
15,0.024514538790115732,0.0001596,27664
13,0.0467233006896468,0.0001373,22832
11,0.04607340097849188,0.0001313,17808
