N,epsilon,delta,cpu_time,ram_bytes
1001,8.799056646287115e-7,3.1082533309249107e-6,1005.463194042,8050496037520
583,3.3866130703286556e-6,2.6601392109397457e-6,365.270945667,2739882730256
381,1.600517772328572e-6,2.8367896689551816e-6,136.231251792,1175753167744
269,2.189436934753277e-6,2.608902692503464e-6,64.747287792,589768582656
199,7.808046915962775e-6,3.260125533388425e-6,34.251649792,325320318768
155,3.9806991725013925e-6,3.1732967772249557e-6,26.625095125,198952192752
123,1.113205980803919e-5,2.2736412045711726e-6,42.468886667,126712120768
99,1.1904869487881613e-5,4.01218106374957e-6,38.541224417,83320077568
83,4.05431283460115e-6,7.057299739199302e-6,35.326004583,59416053792
71,1.1491477883308653e-5,2.3554438166935536e-6,24.62914975,44264038736
59,1.431127351703014e-5,2.4915319677475805e-6,59.104494,31384025952
51,7.141657840835829e-6,2.214858602386195e-6,39.312507875,24136018768
45,1.7881320948198916e-5,2.9628928391085435e-6,35.110385334,19544014224
39,1.8017512705754338e-5,2.7588158189450293e-6,21.470391917,15160009888
35,1.5367492976668327e-5,2.497118168508162e-6,24.021456458,12728007488
31,2.3765974456704994e-5,2.7458389423054524e-6,27.247482542,10424005216
29,1.2452804524159456e-5,6.716248882468546e-6,13.511947416,9464004272
25,1.967685958169354e-5,2.015917727678604e-6,10.868043084,7544002384
23,2.3955636380725233e-5,5.8182719576173384e-6,8.505121792,6712001568
21,2.3939799903395788e-5,3.296877420121745e-6,5.44781375,6008000880
19,3.061160474295562e-5,3.87006819131245e-6,4.46799275,5304000192
17,2.396223219071259e-5,4.47560123133008e-6,5.820470292,4599999504
15,3.3806994829771006e-5,1.5772802626184131e-6,1.097149125,4007998928
13,3.6128781500299394e-5,5.4332307212825455e-6,1.599467667,3399998336
11,4.332102343927182e-5,2.049764638164404e-6,1.127297792,2935997888
