N,epsilon,cpu_time,ram_bytes
1001,5.608583560934971e-9,0.085503625,53913792
583,1.6557832451574077e-8,0.049086458,18753184
381,3.883959033170906e-8,0.006401791,8025120
269,7.808342000810538e-8,0.003184666,4078512
199,1.4304603458781994e-7,0.00183025,2301488
155,2.364464665094877e-7,0.001181792,1400784
123,3.767095728156405e-7,0.000781709,907328
99,5.837184271888783e-7,0.000523792,607136
83,8.335707258618765e-7,0.000400333,447056
71,1.14358418194359e-6,0.00031825,332576
59,1.6650607276120627e-6,0.000259083,239904
51,2.2394938662186017e-6,0.00021,186448
45,2.8904290505346197e-6,0.000180459,150432
39,3.8722684764976824e-6,0.000149333,118688
35,4.833337202862721e-6,0.000129875,99440
31,6.201492469574959e-6,0.000116125,81856
29,7.113968926019441e-6,0.000109708,73536
25,9.663586232526953e-6,9.7542e-5,58480
23,1.1484102819534124e-5,9.3292e-5,51680
21,1.3869893420605072e-5,8.8167e-5,45088
19,1.7080511878978155e-5,7.7084e-5,39088
17,2.154261896104071e-5,6.9792e-5,33360
15,2.7996858073160107e-5,7.5459e-5,28160
13,3.781918527395337e-5,6.6875e-5,23296
11,5.379760056421637e-5,6.0458e-5,18896
