N,epsilon,delta,cpu_time,ram_bytes
1001,0.000973903405932788,0.0011861340722818634,341.525858186,8048967469080
661,0.001260848999601924,0.0011871959656149106,109.88593969,3517323519248
469,0.0009024787218868539,0.0011870148578721578,47.434244466,1775481778944
349,0.000586699281089644,0.0011867820192348953,27.518574808,986360990784
271,0.002102480021143865,0.0011864264879181098,38.333138859,596936601984
217,0.0013342893719904955,0.001186228508729287,51.310456526,384200389680
177,0.0016083456884884513,0.0011856711348994457,49.050613594,256840262640
147,0.0008390420887246082,0.001186878231105753,17.437192829,178120184160
123,0.001311011576611879,0.0011857192262344951,9.048493385,125608131840
107,0.00032634683545705584,0.0011866409193254791,13.751827701,95800102160
91,0.0015132564703842651,0.001187311774036358,5.087371041,69752076240
81,0.0015745527760508513,0.0011860750150782615,4.671096259,55672062240
71,0.0012748929400489553,0.0011870793434719793,4.299997291,43096049744
63,0.001302624554235131,0.0011857984351413377,4.328434159,34312041024
57,0.0017108069530391025,0.001186019994075688,4.270927859,28408035168
51,0.001718878959434984,0.001185462141383662,4.069528035,23032029840
45,0.0012753710629587007,0.0011858615074122978,3.665844001,18312025168
41,0.0017214202094082965,0.0011857214841808938,3.536458315,15384022272
39,0.0022345343524223485,0.0011849146535068457,3.604617506,13992020896
35,0.002730960443517467,0.0011847110888781613,3.544968605,11496018432
33,0.0017376300139039286,0.0011858039333326091,4.186141711,10392017344
29,0.0031065033750382136,0.0011859991266240846,3.081968384,8232015216
27,0.002616464640749687,0.001185220501912539,3.967423781,7272014272
25,0.0017408761779737138,0.0011853638163236786,2.886809605,6376013392
23,0.00308328526771223,0.001184532647320376,2.85153869,5544012576
21,0.0028504403925711332,0.0011849913096874233,3.72028107,4776011824
19,0.0037529049871786384,0.001183825370826448,2.735814787,4072011136
17,0.003872238930675362,0.0011835441091079379,2.64056329,3432010512
15,0.0030846717677850037,0.0011842160170193062,3.670393225,2904010000
13,0.005145568565012273,0.0011824736941302794,2.548156301,2296009408
11,0.00484385980990856,0.001182707707811967,2.422188692,1832008960
