N,epsilon,cpu_time,ram_bytes
1001,5.777767917685708e-7,0.119913066,60995024
661,1.3263900674768975e-6,0.066453816,26848016
469,2.6379450381169997e-6,0.022627188,13610688
349,4.77085506988842e-6,0.010160859,7504608
271,7.925435479492786e-6,0.005977344,4549248
217,1.2383329806646443e-5,0.002777645,3001792
177,1.8651405413024347e-5,0.001869007,1996032
147,2.7103185626007164e-5,0.001462733,1376080
123,3.881426442319512e-5,0.001438553,955136
107,5.141420450384452e-5,0.000945288,737712
91,7.131555912662742e-5,0.000737377,548048
81,9.025370344513665e-5,0.000653915,436336
71,0.00011787276737194347,0.000591025,331616
63,0.00015023967712508046,0.000649136,264544
57,0.0001841401357091423,0.000568095,221696
51,0.00023095343385730354,0.000835998,178352
45,0.0002981760825653093,0.000468314,143840
41,0.00036072637358895655,0.000326603,121568
39,0.0003996508378318858,0.000308993,109520
35,0.0004990711723120465,0.000624956,90320
33,0.0005632976357782495,0.000699756,82960
29,0.0007353616485831124,0.000689156,66448
27,0.0008525501324569538,0.000730217,57776
25,0.0010001259905742356,0.000409114,51952
23,0.001189566337848497,0.000289732,44400
21,0.0014383173577833938,0.000249883,39328
19,0.0017739396858697518,0.000233062,32912
17,0.002242037800473072,0.000240072,28656
15,0.002922490672802393,0.000235112,23504
13,0.003965584177081368,0.000232663,19760
11,0.00568153183135533,0.000218332,15536
