N,epsilon,delta,cpu_time,ram_bytes
1001,0.0006063078953028359,0.0009174275219599322,322.580944457,8048967482568
807,0.0014095781576684092,0.000917299045245937,205.033074037,5236573237328
663,0.0005865031636656988,0.0009173338898943349,104.807119928,3538523540432
555,0.0012304450791349386,0.0009168703152114358,63.465334123,2482810485584
473,0.00041157348433512,0.0009175384270008173,41.629450495,1805849809280
407,0.000906424309320441,0.000917379831072045,33.202750517,1338953342912
353,0.0007719144757235149,0.0009172076286694182,23.408752013,1009049013440
311,0.0002625254654084573,0.0009177501763823795,18.424722166,784456789184
275,0.001769557608783377,0.0009161087655116252,17.420326024,614632619648
245,0.0015460113049264204,0.0009163494687960537,13.538916878,488584493840
219,0.0023034468582314145,0.0009167606186879945,29.244890887,391192396656
197,0.0007900538351465471,0.0009170084026077652,18.059931029,317272322912
179,0.0019696051485783724,0.0009157420825306105,11.171860765,262552268336
163,0.0020689951060927944,0.000915681039274126,8.275776883,218264224176
149,0.0011962501024810042,0.0009170381025247386,6.713377778,182872188896
137,0.0013801031180951907,0.0009163680828210004,5.357805251,155080161200
127,0.002174509752006417,0.000915582293607279,5.26499352,133640139840
117,0.002462935817911329,0.0009153717562121411,5.421827259,113800120080
107,0.0022936483696502957,0.000915373286121353,4.790607167,95800102160
101,0.0026277558317705976,0.0009155534961317704,4.578844217,85432091840
93,0.0025723000549515017,0.0009151013075208366,4.781132602,72712079184
87,0.003117287928390274,0.0009144968129831953,4.559293085,64024070544
81,0.0030391076001473616,0.0009146032424855511,4.613473121,55672062240
77,0.0028274568514627067,0.0009148999028370983,4.959267302,50392056992
73,0.003748299367078152,0.0009137967647884245,4.442539519,45560052192
69,0.0029414793058194005,0.0009147309649760281,4.44940125,40840047504
65,0.003785150378167045,0.0009140377526771565,4.590444324,36376043072
61,0.003535646915683808,0.0009141254702870613,4.722447928,32216038944
57,0.0034977984538289634,0.000914127613422406,3.933969098,28408035168
55,0.0036019707549238317,0.0009139401279921608,4.262654485,26456033232
51,0.003406628960076057,0.0009141438081758933,4.055986132,23032029840
49,0.004256636897686359,0.0009132845296922919,4.342695593,21272028096
47,0.004501910402729761,0.000912966408955719,3.934432042,19720026560
45,0.0036586227810058492,0.0009138659203966156,4.212003881,18312025168
43,0.004224439711452423,0.0009132463259021111,3.847754651,16744023616
41,0.004626185562736585,0.0009128253602266552,4.092215883,15384022272
39,0.004747202296347593,0.000913068189630883,3.895738661,13992020896
37,0.004291492552564649,0.0009132175886712455,3.172477038,12760019680
35,0.004643520844707082,0.0009128829184679985,3.84200665,11496018432
33,0.004305457575159295,0.0009132345216263414,3.078600843,10392017344
31,0.00470065877114953,0.0009127829021422998,3.845965457,9256016224
29,0.004294006598732573,0.0009131673222240026,3.002607754,8232015216
27,0.004546245705501908,0.0009130923414762095,4.035826477,7272014272
25,0.004122091838680264,0.0009133620047319878,2.920935683,6376013392
23,0.0036362142808701522,0.0009139473364962224,2.874265338,5544012576
21,0.0027898903067862034,0.0009148198709179219,3.812941099,4776011824
19,0.002385255793567763,0.0009152730953220523,2.760855911,4072011136
17,0.001084718392217349,0.0009171469743357923,2.70400445,3432010512
15,0.002320437780204924,0.0009201304268810947,4.24526286,2904010000
13,0.005299902372783135,0.0009234561363683003,2.573283052,2296009408
11,0.011961583472657852,0.000930719221375151,2.447323627,1832008960
