N,epsilon,delta,cpu_time,ram_bytes
1001,0.004528086991951393,0.002237026145113128,1363.9312775,73461286752
807,0.0011923995972936091,0.002239578616470607,811.672159,59248053440
663,0.0032412229096565664,0.0022376043126083245,422.5172028,48880043072
555,0.0018872532159864676,0.0022382330335435968,280.5383958,41200035392
473,0.004430263363997401,0.0022371321876729403,192.7118102,35424029616
407,0.005710711295796886,0.0022365835745853714,134.2346273,30432024624
353,0.007768590908806908,0.0022357014202538995,86.8703312,26784020976
311,0.004024860656187546,0.0022372663778981875,44.3738287,23520017712
275,0.006209789943275,0.0022363612963770046,33.120388,21024015216
245,0.00821202313106554,0.0022353934254298116,26.3133427,18656012848
219,0.006504471547616281,0.002236164835849024,19.1458398,16640010832
197,0.010453979808398246,0.002234357788552242,14.4155456,15152009344
179,0.00963511597315751,0.0022348542141996715,10.6920191,13760007952
163,0.01039448849672281,0.0022343893135368122,8.9853045,12608006800
149,0.013794951690074895,0.0022329357117210394,7.5417244,11696005888
137,0.013482471755513075,0.002233057038486547,7.31357,10880005072
127,0.016640837399836836,0.0022315716947068293,6.1961548,10064004256
117,0.014584283245517294,0.002232484884054907,6.6416481,9392003584
107,0.014752863229082714,0.0022324160799981293,6.131265,8720002912
101,0.016110819880881023,0.0022317904553666385,5.5697146,8384002576
93,0.019171634892269803,0.002230586040863498,5.1940247,7616001808
87,0.01957942707589094,0.002230244225091223,4.6458152,7184001376
81,0.021658655206095796,0.0022292553608829996,4.1467434,6560000752
77,0.021462517621886723,0.002229356970299407,3.9029799,6368000560
73,0.023857447312036956,0.002228276732611715,3.7408265,6032000224
69,0.023840850932951546,0.002228272822536645,3.5704498,5647999840
65,0.027330680260487055,0.0022266650895107496,3.1320965,5503999696
61,0.028429483993854796,0.0022261552905919924,3.0682464,5167999360
57,0.029807163526882098,0.00222554987782574,2.8259795,4927999120
55,0.03090218377075087,0.002225011106285754,2.5282806,4783998976
51,0.03129783465723052,0.002224811599342204,2.5226479,4447998640
49,0.033107077719688634,0.0022240004914072897,2.2841426,4303998496
47,0.03278809604611679,0.002224121180923643,2.1259876,4063998256
45,0.035458262200156306,0.002222892640339293,2.2367982,4063998256
43,0.03804276431026813,0.0022216738083459912,2.0059138,3919998112
41,0.037885143644605025,0.0022217499733423293,1.9362547,3679997872
39,0.038723024503465237,0.0022213555000024916,1.9364674,3583997776
37,0.0426989766237869,0.0022194926647424364,1.7159312,3391997584
35,0.04602809934925766,0.0022180095419318062,1.6664272,3151997344
33,0.04709472568960687,0.0022174495135130192,1.701039,3151997344
31,0.05191843503025658,0.0022151367175681004,1.4507139,2911997104
29,0.0533466150968438,0.0022144607190586873,1.4180457,2767996960
27,0.0600762161525035,0.002211246118740958,1.3839494,2575996768
25,0.058298686050800685,0.0022120953322026468,1.2291892,2527996720
23,0.06454819624150704,0.0022091300126228747,1.1497667,2335996528
21,0.06693358928679617,0.002207947936240949,1.5367469,2143996336
19,0.07007029513212053,0.0022064251871003965,1.1301572,1999996192
17,0.07921364857395075,0.0022019693501928394,0.9380885,1855996048
15,0.08725917186918726,0.0021980059347465205,0.9954083,1711995904
13,0.0939210114844511,0.002194707551684238,0.8324363,1567995760
11,0.10483920858590084,0.00218922392477414,0.7633416,1423995616
