N,epsilon,cpu_time,ram_bytes
1001,1.160864499405209e-5,2.1503746,1186193376
807,2.4157924577057675e-5,1.1494247,770475792
663,4.554958280763313e-5,1.0517831,520727952
555,5.15055783518447e-5,0.5316804,365157264
473,8.979148188731352e-5,0.5535499,265488720
407,9.578416746089007e-5,0.3033038,197350416
353,0.00016156080496052813,0.295382,147651600
311,0.00012291626011560282,0.1230198,115102608
275,0.00021150517059394423,0.10121,89745168
245,0.00026684101155286086,0.0642505,71608464
219,0.00042280668837967094,0.0578244,57476592
197,0.00041077227344424956,0.0457515,46467600
179,0.0006343959084104873,0.0410874,38393712
163,0.0007618300741661478,0.0393563,31819920
149,0.0009178447551916444,0.0326854,26601552
137,0.0008515248580484863,0.0255771,22530288
127,0.0009914880184184376,0.0221568,19364688
117,0.0011689943837798471,0.020093,16496208
107,0.0013987690522284392,0.0138162,13809648
101,0.0011818535924160243,0.0144937,12396528
93,0.0023524580721226767,0.0139155,10497168
87,0.002119800771005155,0.0124583,9147312
81,0.0018455169039439576,0.0122951,8006448
77,0.002709381151103223,0.0119501,7211760
73,0.0038279454846296616,0.0110166,6533616
69,0.004342842423803573,0.0069175,5818800
65,0.0038969008880941976,0.0053758,5209776
61,0.0032762879144488093,0.0036463,4574832
57,0.004959535262990572,0.0028555,4011216
55,0.005474552771650563,0.0030312,3727536
51,0.004711006325655147,0.0023963,3221328
49,0.008685695415949853,0.0022949,2992272
47,0.00730855678094875,0.0023384,2750448
45,0.008241994728721818,0.0021065,2548272
43,0.011086667487724413,0.0022749,2323920
41,0.007341114297366175,0.001833,2132880
39,0.01379086575220196,0.0018077,1929072
37,0.0118159775239558,0.0015436,1755888
35,0.01377148399137985,0.0015215,1571856
33,0.018828872652820898,0.0012773,1416528
31,0.012974513246596509,0.001316,1252272
29,0.02509159644774566,0.0013628,1114032
27,0.022201530609901775,0.0012716,970320
25,0.02738488666934644,0.000824,849936
23,0.038495548629861334,0.0007053,726000
21,0.028703757105948476,0.0008371,623472
19,0.058296106284340676,0.0008462,519312
17,0.05542671106513675,0.0009192,434640
15,0.07668987228784323,0.0004543,354288
13,0.11397331472673629,0.0004282,279408
11,0.10482787503337923,0.0003924,213456
