N,epsilon,cpu_time,ram_bytes
901,1.5109897850717548e-9,1.3759149,253330000
441,5.386056550257769e-9,0.0153049,13270528
381,7.905282909229615e-9,0.0106264,9940224
333,1.1731330473929881e-8,0.0079707,7678080
293,1.764327728061753e-8,0.0075605,6018656
261,2.6116473211185307e-8,0.0052651,4806432
233,3.9056423877451715e-8,0.0041801,3890816
209,5.817767772662297e-8,0.0032921,3163616
189,8.487011906430955e-8,0.003372,2614336
173,1.1895466288017675e-7,0.0026383,2208384
157,1.7309499219514202e-7,0.002095,1843104
145,2.360571075631592e-7,0.001634,1593504
133,3.3144909549835567e-7,0.0013758,1364096
113,6.319125786155451e-7,0.0010526,1010512
105,8.464990468025667e-7,0.0009637,884720
97,1.1615286897152135e-6,0.0008339,767376
85,1.9708719488063296e-6,0.0007535,606960
81,2.3913172385698058e-6,0.0006285,557664
57,9.828481991282067e-6,0.0003812,305888
53,1.317618844949819e-5,0.000339,271344
49,1.8076105024268265e-5,0.0003058,238528
45,2.547442687286165e-5,0.0002724,207984
41,3.706069812302502e-5,0.000241,179328
37,5.6012481104678494e-5,0.0002103,152848
33,8.868775632982635e-5,0.0001837,128320
29,0.00014880091122694143,0.0001531,105920
25,0.00026881326858580845,0.0001663,85456
21,0.0005351188221825574,0.0001105,67056
17,0.0012152585478662366,8.46e-5,50720
13,0.0033203644216044685,6.31e-5,36304
