scenario_id,initial_state,initial_state_definition,p_doublet_requested,p_doublet_initial,reference_rate_s^-1,duration_over_reference,duration_s,mixing_over_reference,local_mixing_proxy_rad_s,radical_relaxation_over_reference,radical_relaxation_s^-1,oxygen_relaxation_over_reference,oxygen_relaxation_s^-1,escape_over_reference,k_escape_s^-1,kd_over_reference,k_doublet_s^-1,kq_over_kd,k_quartet_s^-1,final_doublet_population,final_quartet_population,final_total_survival,doublet_reaction_yield_per_encounter,quartet_reaction_yield_per_encounter,primary_superoxide_yield_per_encounter,escape_yield_per_encounter,unresolved_probability,probability_balance,probability_balance_error,solver,solver_samples,output_class,units,non_predictive,limitations,scenario,relaxation_over_reference,samples,survival_probability,commit,dirty_tree,source_fingerprint_sha256,config_identity,config_sha256,provenance_identity,provenance_sha256
baseline,unpolarized,unpolarized I6/6,,0.33333333333333337,1000000.0,8.0,8e-06,1.0,1000000.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,5.533428438770475e-06,3.790048437383946e-05,4.343391281260993e-05,0.18482905443207467,0.0572998597475481,0.2421289141796228,0.7578276519075532,4.343391281260993e-05,0.9999999999999886,1.1435297153639112e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",baseline,0.1,81,4.343391281260993e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
baseline,doublet,doublet-manifold mixture PD/2,,0.9999999999999999,1000000.0,8.0,8e-06,1.0,1000000.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,2.6455767228142466e-06,1.395470859349718e-05,1.6600285316311427e-05,0.4333861334320319,0.012110102986419255,0.44549623641845115,0.5544871632962205,1.6600285316311427e-05,0.999999999999988,1.199040866595169e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",baseline,0.1,81,1.6600285316311427e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
baseline,quartet,quartet-manifold mixture PQ/4,,-1.008102552748629e-17,1000000.0,8.0,8e-06,1.0,1000000.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,6.9773542967485956e-06,4.9873372264010594e-05,5.685072656075919e-05,0.060550514932096206,0.07989473812811253,0.14044525306020872,0.8594978962132195,5.685072656075919e-05,0.999999999999989,1.099120794378905e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",baseline,0.1,81,5.685072656075919e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
baseline,mixture,manifold mixture pD=0.25,0.25,0.24999999999999994,1000000.0,8.0,8e-06,1.0,1000000.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,5.8944099032650085e-06,4.089370634638224e-05,4.678811624964725e-05,0.15375941955708033,0.06294857934268924,0.21670799889976958,0.7832452129839697,4.678811624964725e-05,0.9999999999999889,1.1102230246251565e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",baseline,0.1,81,4.678811624964725e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
baseline,mixture,manifold mixture pD=0.75,0.75,0.7499999999999999,1000000.0,8.0,8e-06,1.0,1000000.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,3.7285211162978336e-06,2.2934374511125536e-05,2.666289562742337e-05,0.340177228807048,0.02905626177184259,0.36923349057889054,0.6307398465254712,2.666289562742337e-05,0.9999999999999892,1.0769163338864018e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",baseline,0.1,81,2.666289562742337e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
vary_mixing_over_reference:0,unpolarized,unpolarized I6/6,,0.33333333333333337,1000000.0,8.0,8e-06,0.0,0.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,4.595572637501801e-06,6.711208706615445e-05,7.170765970365626e-05,0.17472721681160477,0.05913398715609795,0.2338612039677027,0.7660670883725831,7.170765970365626e-05,0.9999999999999895,1.0547118733938987e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",vary_mixing_over_reference:0,0.1,81,7.170765970365626e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
vary_mixing_over_reference:0,doublet,doublet-manifold mixture PD/2,,0.9999999999999999,1000000.0,8.0,8e-06,0.0,0.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,9.153975144719454e-07,1.2871320398033482e-05,1.3786717912505427e-05,0.47042933089308997,0.005375231954172619,0.4758045628472626,0.5241816504348124,1.3786717912505427e-05,0.9999999999999875,1.2545520178264269e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",vary_mixing_over_reference:0,0.1,81,1.3786717912505427e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
vary_mixing_over_reference:0,quartet,quartet-manifold mixture PQ/4,,-1.008102552748629e-17,1000000.0,8.0,8e-06,0.0,0.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,6.435660199016742e-06,9.423247040021505e-05,0.00010066813059923179,0.026876159770863054,0.08601336475706062,0.11288952452792367,0.887009807341468,0.00010066813059923179,0.9999999999999909,9.103828801926284e-15,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",vary_mixing_over_reference:0,0.1,81,0.00010066813059923179,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
vary_mixing_over_reference:0,mixture,manifold mixture pD=0.25,0.25,0.24999999999999994,1000000.0,8.0,8e-06,0.0,0.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,5.0555945278805395e-06,7.389218289966964e-05,7.89477774275502e-05,0.13776445255141886,0.0658538315563388,0.20361828410775767,0.7963027681148039,7.89477774275502e-05,0.9999999999999892,1.0769163338864018e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",vary_mixing_over_reference:0,0.1,81,7.89477774275502e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
vary_mixing_over_reference:0,mixture,manifold mixture pD=0.75,0.75,0.7499999999999999,1000000.0,8.0,8e-06,0.0,0.0,0.1,100000.0,0.1,100000.0,1.0,1000000.0,1.0,1000000.0,0.1,100000.0,2.2954631856081443e-06,3.321160789857888e-05,3.550707108418702e-05,0.35954103811253213,0.02553476515489462,0.38507580326742674,0.6148886896614775,3.550707108418702e-05,0.9999999999999885,1.1546319456101628e-14,constant-generator matrix exponential Pade(13),81,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,True,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",vary_mixing_over_reference:0,0.1,81,3.550707108418702e-05,4e863b04abf00d77462be6bdf33a6b2ad343ab81,True,5be1e94298b14dbd9a2bead98c4b7ccfcddf8b3283caa5e1610ddb3259caa269,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
