missing_parameter,status,conclusion_prohibited,allowed_treatment,source_of_status,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
accessible numerical doxorubicin semiquinone hyperfine tensor,unavailable,Prohibits a physical association or encounter model.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter k_doublet_s,unavailable,Prohibits a quantitative D-channel reaction yield.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter k_quartet_s,unavailable,Prohibits a quantitative Q-channel reaction yield.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
physical k_quartet_s/k_doublet_s range,unavailable,Prohibits a quantitative D-channel reaction yield.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter escape rate,unavailable,Prohibits a quantitative reaction-versus-escape branching ratio.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
encounter duration,unavailable,Prohibits assigning a preferred manifold or physical selectivity range.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
semiquinone T1,unavailable,Prohibits an encounter-specific relaxation rate.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
semiquinone T2/Tm,unavailable,Prohibits quantitative dephasing or coherence-lifetime claims.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
exchange coupling,unavailable,Prohibits a quantitative exchange Hamiltonian.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
dipolar coupling and geometry,unavailable,Prohibits a quantitative dipolar Hamiltonian and orientation average.,bounded illustrative sensitivity coordinate only,configuration authority and targeted evidence review,75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
