summary_type,source_grid,scenario_id,control_label,initial_state,p_doublet_initial,reference_rate_s^-1,duration_over_reference,duration_s,field_t,g_radical,g_oxygen,exchange_rad_s,local_mixing_proxy_rad_s,radical_relaxation_s^-1,oxygen_relaxation_s^-1,k_doublet_s^-1,k_quartet_s^-1,k_escape_s^-1,dq_commutator_frobenius,dq_commutator_normalization,can_coherently_mix_dq,control_meaning,final_doublet_population,final_quartet_population,doublet_reaction_yield_per_encounter,quartet_reaction_yield_per_encounter,primary_superoxide_yield_per_encounter,escape_yield_per_encounter,unresolved_probability,probability_balance,probability_balance_error,solver,solver_samples,non_predictive,output_class,units,limitations,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256,initial_state_definition,p_doublet_requested,mixing_over_reference,radical_relaxation_over_reference,oxygen_relaxation_over_reference,escape_over_reference,kd_over_reference,kq_over_kd,final_total_survival
control,figure07_controls,zero_mixing,Zero mixing,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,1000000.0,100000.0,1000000.0,0.0,divided by k_ref,False,No coherent D/Q mixing term,3.751172490641486e-08,0.00010048871673031773,0.16666664791080404,0.06059692526817598,0.22726357317898002,0.7726359005925638,0.00010052622845522415,0.9999999999999991,8.881784197001252e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,isotropic_exchange_only,Isotropic exchange only,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,2000000.0,"[0.0, 0.0, 0.0]",0.0,0.0,1000000.0,100000.0,1000000.0,1.6463612699567982e-16,divided by k_ref,False,Isotropic exchange commutes with PD,3.7511724906403e-08,0.00010048871673031764,0.16666664791080385,0.06059692526817592,0.22726357317897977,0.7726359005925632,0.00010052622845522404,0.9999999999999982,1.7763568394002505e-15,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,common_zeeman_only,Common Zeeman only,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0, 0, 5.685630106061848e-06]",2.0,2.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,1000000.0,100000.0,1000000.0,0.0,divided by k_ref,False,Common Zeeman is a total-spin generator,3.751172490641486e-08,0.00010048871673031773,0.16666664791080404,0.06059692526817598,0.22726357317898002,0.7726359005925638,0.00010052622845522415,0.9999999999999991,8.881784197001252e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,spin_independent_reaction,Spin-independent reaction,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",0.0,0.0,1000000.0,1000000.0,1000000.0,0.9428090415820635,divided by k_ref,True,kQ=kD null; mixing cannot change total reaction probability,3.7511724906419714e-08,7.502344981283943e-08,0.16666664791080404,0.33333329582160814,0.4999999437324122,0.4999999437324122,1.1253517471925916e-07,0.9999999999999991,8.881784197001252e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,fast_relaxation,Fast relaxation,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",100000000.0,100000000.0,1000000.0,100000.0,1000000.0,0.9428090415820635,divided by k_ref,True,Illustrative local isotropic depolarization,4.57717917902585e-06,9.195613981660402e-06,0.23753512647330338,0.047719634023650565,0.285254760496954,0.714731466709809,1.3772793160686254e-05,0.9999999999999237,7.627232179174825e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,escape_only,Escape only,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1000000.0,0.0,divided by k_ref,False,Analytic survival exp(-kesc t); no reaction,0.00011182087596750388,0.00022364175193500776,0.0,0.0,0.0,0.9996645373720969,0.0003354626279025117,0.9999999999999994,5.551115123125783e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,reaction_only,Reaction only (kD=kQ),unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,1000000.0,1000000.0,0.0,0.0,divided by k_ref,False,Analytic reaction 1-exp(-kD t); no escape,0.00011182087596750388,0.00022364175193500776,0.33322151245736564,0.6664430249147313,0.9996645373720969,0.0,0.0003354626279025117,0.9999999999999994,5.551115123125783e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
selected_grid_minimum,figure04_mixing_escape_heatmaps,mix_escape_kqkd_0,,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,,,,,0.0,100000.0,100000.0,1000000.0,0.0,100000000.0,,,,,0.0,0.0,0.0033003735153258,0.0,0.0033003735153258,0.9966996264846175,0.0,0.9999999999999433,5.67323965583455e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,unpolarized I6/6,,0.0,0.1,0.1,100.0,1.0,0.0,0.0
selected_grid_maximum,figure04_mixing_escape_heatmaps,mix_escape_kqkd_10,,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,,,,,100000000.0,100000.0,100000.0,1000000.0,10000000.0,0.0,,,,,9.370359276682684e-16,5.032673964973882e-16,0.07084278040533376,0.9291572195946366,0.9999999999999704,0.0,1.4403033241656569e-15,0.9999999999999718,2.8199664825478976e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,unpolarized I6/6,,100.0,0.1,0.1,0.0,1.0,10.0,1.4403033241656569e-15
selected_grid_minimum,figure05_mixing_relaxation_heatmaps,mix_relax_quartet-manifold_mixture,,quartet,-1.008102552748629e-17,1000000.0,8.0,8e-06,,,,,0.0,0.0,0.0,1000000.0,100000.0,1000000.0,,,,,-1.0164395367051604e-20,0.0001507330750954766,1.0408340855860843e-17,0.09089538790226397,0.09089538790226398,0.9089538790226398,0.0001507330750954766,0.9999999999999992,7.771561172376096e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",75a4c3412d159bb22928f6908833d25a3e7eec63,6dddab56a21a48a7f24b56e197b17763e4eadbdc877b60493bd029da65416a08,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,quartet-manifold mixture PQ/4,,0.0,0.0,0.0,1.0,1.0,0.1,0.0001507330750954766
