summary_type,source_grid,scenario_id,control_label,initial_state,p_doublet_initial,reference_rate_s^-1,duration_over_reference,duration_s,field_t,g_radical,g_oxygen,exchange_rad_s,local_mixing_proxy_rad_s,radical_relaxation_s^-1,oxygen_relaxation_s^-1,k_doublet_s^-1,k_quartet_s^-1,k_escape_s^-1,dq_commutator_frobenius,dq_commutator_normalization,can_coherently_mix_dq,control_meaning,final_doublet_population,final_quartet_population,doublet_reaction_yield_per_encounter,quartet_reaction_yield_per_encounter,primary_superoxide_yield_per_encounter,escape_yield_per_encounter,unresolved_probability,probability_balance,probability_balance_error,solver,solver_samples,non_predictive,output_class,units,limitations,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256,initial_state_definition,p_doublet_requested,mixing_over_reference,radical_relaxation_over_reference,oxygen_relaxation_over_reference,escape_over_reference,kd_over_reference,kq_over_kd,final_total_survival
control,figure07_controls,baseline_sensitivity,Baseline sensitivity,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",100000.0,100000.0,1000000.0,100000.0,1000000.0,0.9428090415820635,divided by k_ref,True,Illustrative reference case; no parameter is an exact-system estimate,5.533428438770538e-06,3.79004843738397e-05,0.1848290544320762,0.05729985974754856,0.24212891417962476,0.757827651907562,4.343391281261024e-05,0.9999999999999993,6.661338147750939e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,zero_mixing,Zero mixing,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",100000.0,100000.0,1000000.0,100000.0,1000000.0,0.0,divided by k_ref,False,No coherent D/Q mixing term,4.595572637501802e-06,6.711208706615418e-05,0.17472721681160674,0.05913398715609835,0.2338612039677051,0.7660670883725904,7.170765970365598e-05,0.9999999999999991,8.881784197001252e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,spin_independent_reaction,Spin-independent reaction,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",100000.0,100000.0,1000000.0,1000000.0,1000000.0,0.9428090415820635,divided by k_ref,True,kQ=kD null; mixing cannot change total reaction probability,3.7511724906419754e-08,7.502344981283953e-08,0.16666664791080393,0.33333329582160787,0.4999999437324118,0.49999994373241186,1.1253517471925926e-07,0.9999999999999984,1.5543122344752192e-15,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,fast_relaxation,Fast relaxation,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",100000000.0,100000000.0,1000000.0,100000.0,1000000.0,0.9428090415820635,divided by k_ref,True,Illustrative local isotropic depolarization,4.57717917902585e-06,9.195613981660402e-06,0.23753512647330338,0.047719634023650565,0.285254760496954,0.714731466709809,1.3772793160686254e-05,0.9999999999999237,7.627232179174825e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,rapid_escape,Rapid escape,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",100000.0,100000.0,1000000.0,100000.0,100000000.0,0.9428090415820635,divided by k_ref,True,Escape dominates before most modeled electron transfer,0.0,0.0,0.003300370418799833,0.0006659965911100498,0.003966367009909883,0.9960336329900332,0.0,0.9999999999999432,5.684341886080802e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,doublet_benchmark,Doublet benchmark,doublet,0.9999999999999999,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",100000.0,100000.0,1000000.0,100000.0,1000000.0,0.9428090415820635,divided by k_ref,True,Computational limiting benchmark; not a demonstrated prepared state,2.6455767228142796e-06,1.3954708593497345e-05,0.4333861334320349,0.012110102986419376,0.4454962364184543,0.5544871632962286,1.6600285316311623e-05,0.9999999999999993,6.661338147750939e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
control,figure07_controls,quartet_benchmark,Quartet benchmark,quartet,-1.008102552748629e-17,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",100000.0,100000.0,1000000.0,100000.0,1000000.0,0.9428090415820635,divided by k_ref,True,Computational limiting benchmark; not a demonstrated prepared state,6.977354296748665e-06,4.987337226401088e-05,0.060550514932096816,0.07989473812811315,0.14044525306020997,0.8594978962132286,5.685072656075954e-05,0.9999999999999993,6.661338147750939e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,,,,,,,,,
selected_grid_minimum,figure04_mixing_escape_heatmaps,mix_escape_kqkd_0,,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,,,,,0.0,100000.0,100000.0,1000000.0,0.0,100000000.0,,,,,0.0,0.0,0.0033003735153258,0.0,0.0033003735153258,0.9966996264846175,0.0,0.9999999999999433,5.67323965583455e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,unpolarized I6/6,,0.0,0.1,0.1,100.0,1.0,0.0,0.0
selected_grid_maximum,figure04_mixing_escape_heatmaps,mix_escape_kqkd_10,,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,,,,,100000000.0,100000.0,100000.0,1000000.0,10000000.0,0.0,,,,,9.370359276682684e-16,5.032673964973882e-16,0.07084278040533376,0.9291572195946366,0.9999999999999704,0.0,1.4403033241656569e-15,0.9999999999999718,2.8199664825478976e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,unpolarized I6/6,,100.0,0.1,0.1,0.0,1.0,10.0,1.4403033241656569e-15
selected_grid_minimum,figure05_mixing_relaxation_heatmaps,mix_relax_kqkd_0,,unpolarized,0.33333333333333337,1000000.0,8.0,8e-06,,,,,0.0,0.0,0.0,1000000.0,0.0,1000000.0,,,,,3.751172490642841e-08,0.00022364175193500754,0.1666666479108041,0.0,0.1666666479108041,0.8331096728255349,0.000223679263659914,0.999999999999999,9.992007221626409e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless populations/per-encounter yields,dimensionless per encounter unless field name gives s^-1 or s,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9,unpolarized I6/6,,0.0,0.0,0.0,1.0,1.0,0.0,0.000223679263659914
