requirement_id,research_topic_or_output,exact_file,exact_code_object,figure_or_table,test,evidence_status,remaining_limitation,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
Topic 1,Semiquinone g and hyperfine,configs/doxorubicin_parameters.json; spin_chemistry.py,hamiltonian; validate_authority_bundle,Figure 7; Table 2,InitialStateAndHamiltonianTests; AuthorityAndModeTests,bounded_complete,isotropic g only; hyperfine tensors unavailable,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 2,O2 electronic parameters,configs/doxorubicin_parameters.json,active_model.encounter.g_oxygen; oxygen_zfs_d_rad_s; oxygen_zfs_e_rad_s,Tables 2-3,AuthorityAndModeTests,evidence_review_complete,encounter tensors unavailable,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 3,Spin relaxation,spin_chemistry.py,_lindblad; propagate_encounter_reference; propagate_encounter_independent,"Figures 5, 7, 8",EncounterDynamicsTests; IndependentEncounterValidationTests,framework_complete,T1 and T2 unavailable,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 4,Bulk SQ/O2 kinetics,spin_chemistry.py; configs/parameter_provenance.csv,evaluate_bulk_superoxide_rate,Figure 10; Table 2,AuthorityAndModeTests; PaperPipelineTests,condition_specific_complete,not encounter kD or kQ,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 5,Encounter coherence,spin_chemistry.py,hamiltonian; propagate_encounter_reference,Figures 1-2,EncounterDynamicsTests,evidence_unavailable,no measured coherent encounter,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 6,D/Q reaction selectivity,spin_chemistry.py; sensitivity_analysis.py,P_DOUBLET; P_QUARTET; run_selectivity_sweep,"Figures 3, 4, 6",SpinAlgebraTests; PaperPipelineTests,sensitivity_complete,no physical ordering known,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 7,Escape and encounter lifetime,spin_chemistry.py; sensitivity_analysis.py,EncounterParameters.k_escape_s; run_mixing_escape_sweep,"Figures 4, 7; Table 5",EncounterDynamicsTests,sensitivity_complete,physical value unavailable,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 8,Exchange dipolar and geometry,spin_chemistry.py,EncounterParameters; hamiltonian,Figure 7; Table 3,InitialStateAndHamiltonianTests,framework_complete,magnitudes and geometry unavailable,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 9,Downstream speciation and dismutation,spin_chemistry.py,downstream_ros_species_resolved,Figure 9,StagedChemistryTests,bounded_complete,fixed pH and constant SOD,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 10,Experimental ROS validation,configs/doxorubicin_parameters.json,validation_datasets,Table 8,AuthorityAndModeTests,catalog_complete,datasets incomparable for fitting,98521a6d91bdf8253953be4ef358921dc95f31f2,05c23c85181f463e06bca5165ea599373a9bcb1b81a4e5d3ea50e0f803e62a69,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
