symbol,definition,value_or_range,unit,species,charge_state,environment,temperature,pH,method,uncertainty,source,status,limitations,use_class,code_location,permitted_use,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
g_SQ,isotropic doxorubicin semiquinone g value,2.0035,dimensionless,doxorubicin semiquinone,protonation/formal charge not assigned,N2-purged 100 mM phosphate; 100 uM doxorubicin; 400 uM xanthine; 0.2 U xanthine oxidase in 2 mL,not reported,7.5,CW EPR; 1 G modulation; 40 G scan; 1 mW,not reported,https://doi.org/10.1016/0003-9861(91)90023-C,measured,isotropic one-line signal; no g tensor,sensitivity_and_initialization,active_model.encounter.g_radical,sensitivity_and_initialization,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
deltaHpp_SQ,peak-to-peak aqueous one-line width,3.25,G,doxorubicin semiquinone,protonation/formal charge not assigned,N2-purged 100 mM phosphate; 100 uM doxorubicin; 400 uM xanthine; 0.2 U xanthine oxidase in 2 mL,not reported,7.5,CW EPR,not reported,https://doi.org/10.1016/0003-9861(91)90023-C,measured,unresolved hyperfine and homogeneous/inhomogeneous broadening; cannot uniquely convert to T2,validation_only,reference_evidence.hyperfine.aqueous_linewidth_pH7_5,validation_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
deltaHpp_SQ_replication,independent aqueous one-line width,3.2,G,doxorubicin semiquinone,protonation/formal charge not assigned,hypoxic 50 mM Tris; 1 mM doxorubicin; 400 uM hypoxanthine; 0.1 U/mL xanthine oxidase,310 K,7.4,CW EPR,not reported,https://doi.org/10.1124/mol.115.098798,measured,unresolved line; not a hyperfine tensor or T2 measurement,validation_only,reference_evidence.hyperfine.aqueous_linewidth_replication,validation_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
A_SQ,resolved doxorubicin/adriamycin semiquinone hyperfine values,numeric extraction unavailable,not available,adriamycin semiquinone,not reported in accessible abstract,not reported in accessible abstract,not reported in accessible abstract,not reported in accessible abstract,EPR; ENDOR; TRIPLE resonance; partial deuteration,not reported in accessible abstract,https://doi.org/10.1002/mrc.1260260812,measured_source_identified,resolved assignments were investigated; numeric table/tensors/signs/isotope mapping and conditions were not accessible; do not say not investigated,unavailable_for_parameterization,reference_evidence.hyperfine.exact_study,unavailable_for_parameterization,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
lambda_0,gas-phase O2 spin-spin fine-structure constant,1.9847530,cm^-1,16O2 X3Sigma_g- v=0,neutral,gas phase,not extracted,pH not applicable,microwave/optical spectral fit,not available in accessible table,https://hitran.org/media/refs/HITRAN-1973.pdf,fitted,gas rovibronic Hamiltonian and convention; never transfer into solution encounter,context_only,reference_evidence.oxygen.gas.lambda_0,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
gamma_0,gas-phase O2 spin-rotation constant,-8.42930e-3,cm^-1,16O2 X3Sigma_g- v=0,neutral,gas phase,not extracted,pH not applicable,microwave/optical spectral fit,not available in accessible table,https://hitran.org/media/refs/HITRAN-1973.pdf,fitted,gas rovibronic Hamiltonian; never transfer into solution encounter,context_only,reference_evidence.oxygen.gas.gamma_0,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
D_O2_gas,axial D from D=2 lambda convention conversion,3.969506,cm^-1,16O2 X3Sigma_g- v=0,neutral,gas phase,not extracted,pH not applicable,derived convention conversion,not propagated,https://hitran.org/media/refs/HITRAN-1973.pdf,calculated,not a new measurement; sign and normalization depend on Hamiltonian convention,context_only,reference_evidence.oxygen.gas.derived_D,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
D_O2_solid_air,axial matrix O2 zero-field splitting,3.572(3),cm^-1,ground-state O2,neutral,solid air condensed in waveguide,5 K,pH not applicable,94-550 GHz multifrequency EPR,0.003 cm^-1,https://doi.org/10.1006/jmre.2000.2175,measured_fitted,frozen solid only; prohibited as solution surrogate,context_only,reference_evidence.oxygen.matrix_solid_air,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
D_O2_N2_matrix,O2 zero-field splitting in solid nitrogen,3.497,cm^-1,ground-state O2,neutral,O2 diluted in solid N2,15 K,pH not applicable,high-field high-frequency EPR,not reported,https://doi.org/10.1016/S0921-4526(00)00615-3,measured_fitted,temperature dependent; signal disappears above 25 K; g=2/no rhombicity fit,context_only,reference_evidence.oxygen.matrix_nitrogen,context_only,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
T1_O2_solution,bulk dissolved oxygen electron spin-lattice relaxation,approximately 7.5,ps,ground-state O2,neutral,water; 1:1 water/glycerol; cyclohexane; methanol; benzene; acetone; acetonitrile; DMSO,room temperature,not reported/not applicable,proton magnetic relaxation dispersion,not reported in abstract,https://doi.org/10.1006/jmre.2000.2219,indirectly_fitted,bulk fluid scale; no direct time-domain O2 T1; not encounter-specific and not a static g/D/E tensor,sensitivity_context,reference_evidence.oxygen.bulk_solution,sensitivity_context,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
