requirement_id,research_topic_or_output,exact_file,exact_code_object,figure_or_table,test,evidence_status,remaining_limitation,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
Topic 1,Semiquinone g and hyperfine,configs/doxorubicin_parameters.json; spin_chemistry.py,hamiltonian; validate_authority_bundle,Figure 7; Table 2,InitialStateAndHamiltonianTests; AuthorityAndModeTests,bounded_complete,isotropic g only; hyperfine tensors unavailable,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 2,O2 electronic parameters,configs/doxorubicin_parameters.json,active_model.encounter.g_oxygen; oxygen_zfs_d_rad_s; oxygen_zfs_e_rad_s,Tables 2-3,AuthorityAndModeTests,evidence_review_complete,encounter tensors unavailable,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 3,Spin relaxation,spin_chemistry.py,_lindblad; propagate_encounter_reference; propagate_encounter_independent,"Figures 5, 7, 8",EncounterDynamicsTests; IndependentEncounterValidationTests,framework_complete,T1 and T2 unavailable,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 4,Bulk SQ/O2 kinetics,spin_chemistry.py; configs/parameter_provenance.csv,evaluate_bulk_superoxide_rate,Figure 10; Table 2,AuthorityAndModeTests; PaperPipelineTests,condition_specific_complete,not encounter kD or kQ,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 5,Encounter coherence,spin_chemistry.py,hamiltonian; propagate_encounter_reference,Figures 1-2,EncounterDynamicsTests,evidence_unavailable,no measured coherent encounter,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 6,D/Q reaction selectivity,spin_chemistry.py; sensitivity_analysis.py,P_DOUBLET; P_QUARTET; run_selectivity_sweep,"Figures 3, 4, 6",SpinAlgebraTests; PaperPipelineTests,sensitivity_complete,no physical ordering known,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 7,Escape and encounter lifetime,spin_chemistry.py; sensitivity_analysis.py,EncounterParameters.k_escape_s; run_mixing_escape_sweep,"Figures 4, 7; Table 5",EncounterDynamicsTests,sensitivity_complete,physical value unavailable,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 8,Exchange dipolar and geometry,spin_chemistry.py,EncounterParameters; hamiltonian,Figure 7; Table 3,InitialStateAndHamiltonianTests,framework_complete,magnitudes and geometry unavailable,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 9,Downstream speciation and dismutation,spin_chemistry.py,downstream_ros_species_resolved,Figure 9,StagedChemistryTests,bounded_complete,fixed pH and constant SOD,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 10,Experimental ROS validation,configs/doxorubicin_parameters.json,validation_datasets,Table 8,AuthorityAndModeTests,catalog_complete,datasets incomparable for fitting,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 11,Independent numerical behavior,spin_chemistry.py,propagate_encounter_reference; propagate_encounter_independent,Figure 8; Table 6,IndependentEncounterValidationTests,complete,"numerical, not physical validation",05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Topic 12,Circuit consistency,spin_chemistry.py,execute_three_qubit_unitary_circuit,Figure 11; Table 7,CoherentValidationTests,conditional_complete,coherent simulator and embedding only,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output A,parameter provenance,configs/parameter_provenance.csv,_provenance_rows,Table 2,AuthorityAndModeTests,complete,Interpret only within the stated evidence and sensitivity scope.,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output B,Hamiltonian and spin algebra,spin_chemistry.py,hamiltonian; P_DOUBLET; P_QUARTET,Figure 1; Table 1,SpinAlgebraTests; InitialStateAndHamiltonianTests,complete,Interpret only within the stated evidence and sensitivity scope.,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Output C,initial-state benchmarks,spin_chemistry.py,initial_density,Figures 2-3; Table 4,InitialStateAndHamiltonianTests,complete,Interpret only within the stated evidence and sensitivity scope.,05834d40de6e02835a8defabf4dbdc72dfae0463,481a2742b9e7957d5f7824ad04c8c284f1422255024a56acbea6e7660f35e687,configs/doxorubicin_parameters.json,b14b641f69afb70af9ff7557a062c2ce00e0b0cb74381ba69fcfaad4f17f04af,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
